run_id,ts_start,ts_end,agent_id,agent_kind,scenario,task_id,task_kind,baseline_run,success,failure_reason,grader_results,exit_code,wall_time_sec,model,uncached_input_tokens,cached_read_tokens,cache_write_tokens,cache_write_ttl,output_tokens,billed_cost_usd,cost_source,cold_equivalent_cost_usd,cache_savings_usd,cache_read_rate,baseline_cost_usd,marginal_cost_usd,xcodebuild_calls,xcrun_calls,simctl_calls,time_to_first_xcodebuild_sec,xcodebuild_repeat_count,destination_count,destination_churn,mcp_tool_calls,tool_error_total,tool_error_mcp,tool_error_non_mcp,transcript_path,agent_output_json_path,command_log_path,mcp_tool_log_path,tool_error_log_path,tool_error_context_log_path,mcp_xcodebuild_calls,mcp_simctl_calls,time_to_first_mcp_build_sec
droid-minimax-shell_unprimed-smoke_build_install_launch-trial-1775399638317,2026-04-05T14:33:58.317930+00:00,2026-04-05T14:34:01.884089+00:00,droid-minimax,droid_exec_cli,shell_unprimed,smoke_build_install_launch,regression,False,False,app_not_installed,"[{'type': 'ios_install_check', 'ok': False, 'reason': 'app_not_installed', 'duration_sec': 0.553}]",1,1.0775229930877686,,,0,0,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_143354/trials/droid-minimax-shell_unprimed-smoke_build_install_launch-trial-1775399638317/transcript.txt,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_143354/trials/droid-minimax-shell_unprimed-smoke_build_install_launch-trial-1775399638317/cmd_log.jsonl,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_143354/trials/droid-minimax-shell_unprimed-smoke_build_install_launch-trial-1775399638317/tool_errors.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_143354/trials/droid-minimax-shell_unprimed-smoke_build_install_launch-trial-1775399638317/tool_error_context.jsonl,0,0,
droid-minimax-shell_primed-smoke_build_install_launch-trial-1775399641936,2026-04-05T14:34:01.936442+00:00,2026-04-05T14:34:04.786350+00:00,droid-minimax,droid_exec_cli,shell_primed,smoke_build_install_launch,regression,False,False,app_not_installed,"[{'type': 'ios_install_check', 'ok': False, 'reason': 'app_not_installed', 'duration_sec': 0.499}]",1,0.9538788795471191,,,0,0,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_143354/trials/droid-minimax-shell_primed-smoke_build_install_launch-trial-1775399641936/transcript.txt,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_143354/trials/droid-minimax-shell_primed-smoke_build_install_launch-trial-1775399641936/cmd_log.jsonl,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_143354/trials/droid-minimax-shell_primed-smoke_build_install_launch-trial-1775399641936/tool_errors.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_143354/trials/droid-minimax-shell_primed-smoke_build_install_launch-trial-1775399641936/tool_error_context.jsonl,0,0,
droid-minimax-mcp_unprimed-smoke_build_install_launch-trial-1775399644838,2026-04-05T14:34:04.838060+00:00,2026-04-05T14:34:07.809484+00:00,droid-minimax,droid_exec_cli,mcp_unprimed,smoke_build_install_launch,regression,False,False,app_not_installed,"[{'type': 'ios_install_check', 'ok': False, 'reason': 'app_not_installed', 'duration_sec': 0.502}]",1,1.0656251907348633,,,0,0,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_143354/trials/droid-minimax-mcp_unprimed-smoke_build_install_launch-trial-1775399644838/transcript.txt,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_143354/trials/droid-minimax-mcp_unprimed-smoke_build_install_launch-trial-1775399644838/cmd_log.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_143354/trials/droid-minimax-mcp_unprimed-smoke_build_install_launch-trial-1775399644838/mcp_tool_calls.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_143354/trials/droid-minimax-mcp_unprimed-smoke_build_install_launch-trial-1775399644838/tool_errors.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_143354/trials/droid-minimax-mcp_unprimed-smoke_build_install_launch-trial-1775399644838/tool_error_context.jsonl,0,0,
droid-minimax-mcp_unprimed_v2-smoke_build_install_launch-trial-1775399647859,2026-04-05T14:34:07.859022+00:00,2026-04-05T14:34:10.723301+00:00,droid-minimax,droid_exec_cli,mcp_unprimed_v2,smoke_build_install_launch,regression,False,False,app_not_installed,"[{'type': 'ios_install_check', 'ok': False, 'reason': 'app_not_installed', 'duration_sec': 0.497}]",1,1.0259900093078613,,,0,0,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_143354/trials/droid-minimax-mcp_unprimed_v2-smoke_build_install_launch-trial-1775399647859/transcript.txt,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_143354/trials/droid-minimax-mcp_unprimed_v2-smoke_build_install_launch-trial-1775399647859/cmd_log.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_143354/trials/droid-minimax-mcp_unprimed_v2-smoke_build_install_launch-trial-1775399647859/mcp_tool_calls.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_143354/trials/droid-minimax-mcp_unprimed_v2-smoke_build_install_launch-trial-1775399647859/tool_errors.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_143354/trials/droid-minimax-mcp_unprimed_v2-smoke_build_install_launch-trial-1775399647859/tool_error_context.jsonl,0,0,
