agent_id,scenario,task_id,task_kind,runs,success_rate,pass_at_1,pass_at_3,pass_pow_3,time_p10,time_median,time_p90,time_mean,time_std,time_cv,cost_p10,cost_median,cost_p90,cost_mean,cost_std,cost_cv,cold_cost_median,cold_cost_p90,cold_cost_cv,cache_savings_mean,cache_read_rate_mean,cost_per_success_mean,time_per_success_mean,xcodebuild_calls_mean,xcrun_calls_mean,simctl_calls_mean,mcp_tool_calls_mean,time_to_first_xcodebuild_mean,time_to_first_mcp_build_mean,xcodebuild_repeat_mean,destination_count_mean,destination_churn_mean,tool_error_mean,tool_error_mcp_mean,tool_error_non_mcp_mean
droid-minimax,shell_primed,feature_from_task_md_fix_tests,capability,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
droid-minimax,shell_primed,hn_offline_api_refactor,capability,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
droid-minimax,shell_primed,smoke_build_install_launch,regression,1,0.0,0.0,0.0,0.0,480.1544110774994,480.1544110774994,480.1544110774994,480.1544110774994,,,,,,,,,,,,,,,,13.0,22.0,19.0,0.0,102.182396,,9.0,2.0,1.0,0.0,0.0,0.0
