run_id,ts_start,ts_end,agent_id,agent_kind,scenario,task_id,task_kind,baseline_run,success,failure_reason,grader_results,exit_code,wall_time_sec,model,uncached_input_tokens,cached_read_tokens,cache_write_tokens,cache_write_ttl,output_tokens,billed_cost_usd,cost_source,cold_equivalent_cost_usd,cache_savings_usd,cache_read_rate,baseline_cost_usd,marginal_cost_usd,xcodebuild_calls,xcrun_calls,simctl_calls,time_to_first_xcodebuild_sec,xcodebuild_repeat_count,destination_count,destination_churn,mcp_tool_calls,tool_error_total,tool_error_mcp,tool_error_non_mcp,transcript_path,agent_output_json_path,command_log_path,mcp_tool_log_path,tool_error_log_path,tool_error_context_log_path,mcp_xcodebuild_calls,mcp_simctl_calls,time_to_first_mcp_build_sec
droid-minimax-shell_primed-feature_from_task_md_fix_tests-trial-1775354250267,2026-04-05T01:57:30.267148+00:00,2026-04-05T01:57:30.634548+00:00,droid-minimax,droid_exec_cli,shell_primed,feature_from_task_md_fix_tests,capability,False,False,setup_failed,,1,0.0,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_015724/trials/droid-minimax-shell_primed-feature_from_task_md_fix_tests-trial-1775354250267/transcript.txt,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_015724/trials/droid-minimax-shell_primed-feature_from_task_md_fix_tests-trial-1775354250267/cmd_log.jsonl,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_015724/trials/droid-minimax-shell_primed-feature_from_task_md_fix_tests-trial-1775354250267/tool_errors.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_015724/trials/droid-minimax-shell_primed-feature_from_task_md_fix_tests-trial-1775354250267/tool_error_context.jsonl,0,0,
droid-minimax-shell_primed-smoke_build_install_launch-trial-1775354250696,2026-04-05T01:57:30.696233+00:00,2026-04-05T02:05:38.346439+00:00,droid-minimax,droid_exec_cli,shell_primed,smoke_build_install_launch,regression,False,False,timeout_hard,"[{'type': 'ios_install_check', 'ok': True, 'reason': None, 'duration_sec': 1.943}, {'type': 'ios_launch_check', 'ok': True, 'reason': None, 'duration_sec': 1.52}]",124,480.1544110774994,,,0,0,,,,,,,,,,13,22,19,102.182396,9,2,1,0,0,0,0,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_015724/trials/droid-minimax-shell_primed-smoke_build_install_launch-trial-1775354250696/transcript.txt,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_015724/trials/droid-minimax-shell_primed-smoke_build_install_launch-trial-1775354250696/cmd_log.jsonl,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_015724/trials/droid-minimax-shell_primed-smoke_build_install_launch-trial-1775354250696/tool_errors.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_015724/trials/droid-minimax-shell_primed-smoke_build_install_launch-trial-1775354250696/tool_error_context.jsonl,0,0,
droid-minimax-shell_primed-hn_api_cache_ttl-trial-1775354748469,2026-04-05T02:05:48.469860+00:00,2026-04-05T02:13:48.566909+00:00,droid-minimax,droid_exec_cli,shell_primed,hn_api_cache_ttl,capability,False,True,,"[{'type': 'git_diff_forbidden', 'ok': True, 'reason': None, 'duration_sec': 0.479}, {'type': 'ios_test_pass', 'ok': True, 'reason': None, 'duration_sec': 115.977}]",0,362.35035490989685,,25482,528681,47652,,7593,0.0,computed,0.0,0.0,0.8784776052441365,,,7,3,3,164.664651,3,2,1,0,0,0,0,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_015724/trials/droid-minimax-shell_primed-hn_api_cache_ttl-trial-1775354748469/transcript.txt,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_015724/trials/droid-minimax-shell_primed-hn_api_cache_ttl-trial-1775354748469/cmd_log.jsonl,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_015724/trials/droid-minimax-shell_primed-hn_api_cache_ttl-trial-1775354748469/tool_errors.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_015724/trials/droid-minimax-shell_primed-hn_api_cache_ttl-trial-1775354748469/tool_error_context.jsonl,0,0,
droid-minimax-shell_primed-hn_offline_api_refactor-trial-1775355249385,2026-04-05T02:14:09.385121+00:00,2026-04-05T02:14:09.879176+00:00,droid-minimax,droid_exec_cli,shell_primed,hn_offline_api_refactor,capability,False,False,setup_failed,,1,0.0,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_015724/trials/droid-minimax-shell_primed-hn_offline_api_refactor-trial-1775355249385/transcript.txt,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_015724/trials/droid-minimax-shell_primed-hn_offline_api_refactor-trial-1775355249385/cmd_log.jsonl,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_015724/trials/droid-minimax-shell_primed-hn_offline_api_refactor-trial-1775355249385/tool_errors.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_015724/trials/droid-minimax-shell_primed-hn_offline_api_refactor-trial-1775355249385/tool_error_context.jsonl,0,0,
droid-minimax-shell_primed-hn_settings_deeplink-trial-1775355249929,2026-04-05T02:14:09.929793+00:00,2026-04-05T02:22:07.701671+00:00,droid-minimax,droid_exec_cli,shell_primed,hn_settings_deeplink,capability,False,True,,"[{'type': 'git_diff_forbidden', 'ok': True, 'reason': None, 'duration_sec': 0.308}, {'type': 'screenshot_exists', 'ok': True, 'reason': None, 'duration_sec': 0.001}, {'type': 'screenshot_compare', 'ok': True, 'reason': None, 'duration_sec': 0.104}]",0,477.0217168331146,,18071,706763,67882,,7179,0.0,computed,0.0,0.0,0.8915715085856726,,,4,16,15,117.382252,1,1,0,0,0,0,0,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_015724/trials/droid-minimax-shell_primed-hn_settings_deeplink-trial-1775355249929/transcript.txt,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_015724/trials/droid-minimax-shell_primed-hn_settings_deeplink-trial-1775355249929/cmd_log.jsonl,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_015724/trials/droid-minimax-shell_primed-hn_settings_deeplink-trial-1775355249929/tool_errors.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260405_015724/trials/droid-minimax-shell_primed-hn_settings_deeplink-trial-1775355249929/tool_error_context.jsonl,0,0,
