run_id,ts_start,ts_end,agent_id,agent_kind,scenario,task_id,task_kind,baseline_run,success,failure_reason,grader_results,exit_code,wall_time_sec,model,uncached_input_tokens,cached_read_tokens,cache_write_tokens,cache_write_ttl,output_tokens,billed_cost_usd,cost_source,cold_equivalent_cost_usd,cache_savings_usd,cache_read_rate,baseline_cost_usd,marginal_cost_usd,xcodebuild_calls,xcrun_calls,simctl_calls,time_to_first_xcodebuild_sec,xcodebuild_repeat_count,destination_count,destination_churn,mcp_tool_calls,tool_error_total,tool_error_mcp,tool_error_non_mcp,transcript_path,agent_output_json_path,command_log_path,mcp_tool_log_path,tool_error_log_path,tool_error_context_log_path,mcp_xcodebuild_calls,mcp_simctl_calls,time_to_first_mcp_build_sec
droid-minimax-shell_unprimed-baseline-baseline-1775341609408,2026-04-04T22:26:49.408536+00:00,2026-04-04T22:27:04.662358+00:00,droid-minimax,droid_exec_cli,shell_unprimed,baseline,baseline,True,True,,,0,15.167732954025269,,86,0,16821,,27,0.0,computed,0.0,0.0,0.0,,,0,0,0,,0,0,0,0,0,0,0,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222646/trials/droid-minimax-shell_unprimed-baseline-baseline-1775341609408/transcript.txt,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222646/trials/droid-minimax-shell_unprimed-baseline-baseline-1775341609408/cmd_log.jsonl,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222646/trials/droid-minimax-shell_unprimed-baseline-baseline-1775341609408/tool_errors.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222646/trials/droid-minimax-shell_unprimed-baseline-baseline-1775341609408/tool_error_context.jsonl,0,0,
droid-minimax-shell_unprimed-smoke_build_install_launch-trial-1775341624715,2026-04-04T22:27:04.715277+00:00,2026-04-04T22:35:07.956441+00:00,droid-minimax,droid_exec_cli,shell_unprimed,smoke_build_install_launch,regression,False,False,timeout_hard,"[{'type': 'ios_install_check', 'ok': True, 'reason': None, 'duration_sec': 0.683}, {'type': 'ios_launch_check', 'ok': True, 'reason': None, 'duration_sec': 0.945}]",124,480.0995149612427,,,0,0,,,,,,,,0.0,,0,0,0,,0,0,0,0,0,0,0,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222646/trials/droid-minimax-shell_unprimed-smoke_build_install_launch-trial-1775341624715/transcript.txt,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222646/trials/droid-minimax-shell_unprimed-smoke_build_install_launch-trial-1775341624715/cmd_log.jsonl,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222646/trials/droid-minimax-shell_unprimed-smoke_build_install_launch-trial-1775341624715/tool_errors.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222646/trials/droid-minimax-shell_unprimed-smoke_build_install_launch-trial-1775341624715/tool_error_context.jsonl,0,0,
droid-minimax-mcp_unprimed-baseline-baseline-1775342111444,2026-04-04T22:35:11.444920+00:00,2026-04-04T22:35:22.360560+00:00,droid-minimax,droid_exec_cli,mcp_unprimed,baseline,baseline,True,True,,,0,10.823184967041016,,86,16206,616,,41,0.0,computed,0.0,0.0,0.9584811923349894,,,0,0,0,,0,0,0,0,0,0,0,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222646/trials/droid-minimax-mcp_unprimed-baseline-baseline-1775342111444/transcript.txt,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222646/trials/droid-minimax-mcp_unprimed-baseline-baseline-1775342111444/cmd_log.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222646/trials/droid-minimax-mcp_unprimed-baseline-baseline-1775342111444/mcp_tool_calls.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222646/trials/droid-minimax-mcp_unprimed-baseline-baseline-1775342111444/tool_errors.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222646/trials/droid-minimax-mcp_unprimed-baseline-baseline-1775342111444/tool_error_context.jsonl,0,0,
droid-minimax-mcp_unprimed-smoke_build_install_launch-trial-1775342122417,2026-04-04T22:35:22.417844+00:00,2026-04-04T22:43:34.961095+00:00,droid-minimax,droid_exec_cli,mcp_unprimed,smoke_build_install_launch,regression,False,False,app_not_installed,"[{'type': 'ios_install_check', 'ok': False, 'reason': 'app_not_installed', 'duration_sec': 0.614}]",0,490.2142987251282,,20073,412262,53476,,3078,0.0,computed,0.0,0.0,0.8486057335054167,0.0,0.0,0,0,0,,0,0,0,0,0,0,0,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222646/trials/droid-minimax-mcp_unprimed-smoke_build_install_launch-trial-1775342122417/transcript.txt,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222646/trials/droid-minimax-mcp_unprimed-smoke_build_install_launch-trial-1775342122417/cmd_log.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222646/trials/droid-minimax-mcp_unprimed-smoke_build_install_launch-trial-1775342122417/mcp_tool_calls.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222646/trials/droid-minimax-mcp_unprimed-smoke_build_install_launch-trial-1775342122417/tool_errors.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222646/trials/droid-minimax-mcp_unprimed-smoke_build_install_launch-trial-1775342122417/tool_error_context.jsonl,0,0,
