run_id,ts_start,ts_end,agent_id,agent_kind,scenario,task_id,task_kind,baseline_run,success,failure_reason,grader_results,exit_code,wall_time_sec,model,uncached_input_tokens,cached_read_tokens,cache_write_tokens,cache_write_ttl,output_tokens,billed_cost_usd,cost_source,cold_equivalent_cost_usd,cache_savings_usd,cache_read_rate,baseline_cost_usd,marginal_cost_usd,xcodebuild_calls,xcrun_calls,simctl_calls,time_to_first_xcodebuild_sec,xcodebuild_repeat_count,destination_count,destination_churn,mcp_tool_calls,tool_error_total,tool_error_mcp,tool_error_non_mcp,transcript_path,agent_output_json_path,command_log_path,mcp_tool_log_path,tool_error_log_path,tool_error_context_log_path,mcp_xcodebuild_calls,mcp_simctl_calls,time_to_first_mcp_build_sec
droid-minimax-shell_primed-baseline-baseline-1775333188775,2026-04-04T20:06:28.775105+00:00,2026-04-04T20:06:31.402722+00:00,droid-minimax,droid_exec_cli,shell_primed,baseline,baseline,True,False,agent_exit_nonzero,,1,2.5334880352020264,,,0,0,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_200623/trials/droid-minimax-shell_primed-baseline-baseline-1775333188775/transcript.txt,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_200623/trials/droid-minimax-shell_primed-baseline-baseline-1775333188775/cmd_log.jsonl,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_200623/trials/droid-minimax-shell_primed-baseline-baseline-1775333188775/tool_errors.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_200623/trials/droid-minimax-shell_primed-baseline-baseline-1775333188775/tool_error_context.jsonl,0,0,
codex-shell_primed-baseline-baseline-1775333188775,2026-04-04T20:06:28.775607+00:00,2026-04-04T20:06:39.132041+00:00,codex,codex_cli,shell_primed,baseline,baseline,True,True,,,0,7.905115127563477,,10715,3456,0,,16,0.027891500000000003,ccusage,0.025023249999999997,-0.002868250000000006,0.24387834309505327,,,0,0,0,,0,0,0,0,0,0,0,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_200623/trials/codex-shell_primed-baseline-baseline-1775333188775/transcript.txt,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_200623/trials/codex-shell_primed-baseline-baseline-1775333188775/agent_output.json,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_200623/trials/codex-shell_primed-baseline-baseline-1775333188775/cmd_log.jsonl,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_200623/trials/codex-shell_primed-baseline-baseline-1775333188775/tool_errors.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_200623/trials/codex-shell_primed-baseline-baseline-1775333188775/tool_error_context.jsonl,0,0,
droid-minimax-shell_primed-smoke_build_install_launch-trial-1775333191449,2026-04-04T20:06:31.449519+00:00,2026-04-04T20:06:39.627625+00:00,droid-minimax,droid_exec_cli,shell_primed,smoke_build_install_launch,regression,False,False,app_not_installed,"[{'type': 'ios_install_check', 'ok': False, 'reason': 'app_not_installed', 'duration_sec': 0.587}]",1,3.9455928802490234,,,0,0,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_200623/trials/droid-minimax-shell_primed-smoke_build_install_launch-trial-1775333191449/transcript.txt,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_200623/trials/droid-minimax-shell_primed-smoke_build_install_launch-trial-1775333191449/cmd_log.jsonl,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_200623/trials/droid-minimax-shell_primed-smoke_build_install_launch-trial-1775333191449/tool_errors.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_200623/trials/droid-minimax-shell_primed-smoke_build_install_launch-trial-1775333191449/tool_error_context.jsonl,0,0,
codex-shell_primed-smoke_build_install_launch-trial-1775333199182,2026-04-04T20:06:39.182742+00:00,2026-04-04T20:10:18.103962+00:00,codex,codex_cli,shell_primed,smoke_build_install_launch,regression,False,True,,"[{'type': 'ios_install_check', 'ok': True, 'reason': None, 'duration_sec': 0.521}, {'type': 'ios_launch_check', 'ok': True, 'reason': None, 'duration_sec': 0.913}]",0,214.56344413757324,,56367,646528,0,,5512,0.3852295,ccusage,1.3072342499999998,0.9220047499999998,0.9198073680990759,0.027891500000000003,0.357338,0,0,0,,0,0,0,0,6,0,6,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_200623/trials/codex-shell_primed-smoke_build_install_launch-trial-1775333199182/transcript.txt,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_200623/trials/codex-shell_primed-smoke_build_install_launch-trial-1775333199182/agent_output.json,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_200623/trials/codex-shell_primed-smoke_build_install_launch-trial-1775333199182/cmd_log.jsonl,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_200623/trials/codex-shell_primed-smoke_build_install_launch-trial-1775333199182/tool_errors.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_200623/trials/codex-shell_primed-smoke_build_install_launch-trial-1775333199182/tool_error_context.jsonl,0,0,
