run_id,ts_start,ts_end,agent_id,agent_kind,scenario,task_id,task_kind,baseline_run,success,failure_reason,grader_results,exit_code,wall_time_sec,model,uncached_input_tokens,cached_read_tokens,cache_write_tokens,cache_write_ttl,output_tokens,billed_cost_usd,cost_source,cold_equivalent_cost_usd,cache_savings_usd,cache_read_rate,baseline_cost_usd,marginal_cost_usd,xcodebuild_calls,xcrun_calls,simctl_calls,time_to_first_xcodebuild_sec,xcodebuild_repeat_count,destination_count,destination_churn,mcp_tool_calls,tool_error_total,tool_error_mcp,tool_error_non_mcp,transcript_path,agent_output_json_path,command_log_path,mcp_tool_log_path,tool_error_log_path,tool_error_context_log_path,mcp_xcodebuild_calls,mcp_simctl_calls,time_to_first_mcp_build_sec
droid-minimax-shell_unprimed-baseline-baseline-1775341495131,2026-04-04T22:24:55.131603+00:00,2026-04-04T22:24:56.379323+00:00,droid-minimax,droid_exec_cli,shell_unprimed,baseline,baseline,True,False,agent_exit_nonzero,,1,1.1553757190704346,,,0,0,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222447/trials/droid-minimax-shell_unprimed-baseline-baseline-1775341495131/transcript.txt,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222447/trials/droid-minimax-shell_unprimed-baseline-baseline-1775341495131/cmd_log.jsonl,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222447/trials/droid-minimax-shell_unprimed-baseline-baseline-1775341495131/tool_errors.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222447/trials/droid-minimax-shell_unprimed-baseline-baseline-1775341495131/tool_error_context.jsonl,0,0,
droid-minimax-shell_unprimed-smoke_build_install_launch-trial-1775341496427,2026-04-04T22:24:56.427119+00:00,2026-04-04T22:25:00.083289+00:00,droid-minimax,droid_exec_cli,shell_unprimed,smoke_build_install_launch,regression,False,False,app_not_installed,"[{'type': 'ios_install_check', 'ok': False, 'reason': 'app_not_installed', 'duration_sec': 0.668}]",1,1.1854960918426514,,,0,0,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222447/trials/droid-minimax-shell_unprimed-smoke_build_install_launch-trial-1775341496427/transcript.txt,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222447/trials/droid-minimax-shell_unprimed-smoke_build_install_launch-trial-1775341496427/cmd_log.jsonl,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222447/trials/droid-minimax-shell_unprimed-smoke_build_install_launch-trial-1775341496427/tool_errors.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222447/trials/droid-minimax-shell_unprimed-smoke_build_install_launch-trial-1775341496427/tool_error_context.jsonl,0,0,
droid-minimax-mcp_unprimed-baseline-baseline-1775341500135,2026-04-04T22:25:00.135430+00:00,2026-04-04T22:25:01.317244+00:00,droid-minimax,droid_exec_cli,mcp_unprimed,baseline,baseline,True,False,agent_exit_nonzero,,1,1.0997810363769531,,,0,0,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222447/trials/droid-minimax-mcp_unprimed-baseline-baseline-1775341500135/transcript.txt,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222447/trials/droid-minimax-mcp_unprimed-baseline-baseline-1775341500135/cmd_log.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222447/trials/droid-minimax-mcp_unprimed-baseline-baseline-1775341500135/mcp_tool_calls.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222447/trials/droid-minimax-mcp_unprimed-baseline-baseline-1775341500135/tool_errors.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222447/trials/droid-minimax-mcp_unprimed-baseline-baseline-1775341500135/tool_error_context.jsonl,0,0,
droid-minimax-mcp_unprimed-smoke_build_install_launch-trial-1775341501368,2026-04-04T22:25:01.368685+00:00,2026-04-04T22:25:04.394289+00:00,droid-minimax,droid_exec_cli,mcp_unprimed,smoke_build_install_launch,regression,False,False,app_not_installed,"[{'type': 'ios_install_check', 'ok': False, 'reason': 'app_not_installed', 'duration_sec': 0.535}]",1,1.0792458057403564,,,0,0,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222447/trials/droid-minimax-mcp_unprimed-smoke_build_install_launch-trial-1775341501368/transcript.txt,,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222447/trials/droid-minimax-mcp_unprimed-smoke_build_install_launch-trial-1775341501368/cmd_log.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222447/trials/droid-minimax-mcp_unprimed-smoke_build_install_launch-trial-1775341501368/mcp_tool_calls.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222447/trials/droid-minimax-mcp_unprimed-smoke_build_install_launch-trial-1775341501368/tool_errors.jsonl,/Users/james/Developer/zrepos/zmisc/zmirror/xcodebuildmcp_eval/runs/20260404_222447/trials/droid-minimax-mcp_unprimed-smoke_build_install_launch-trial-1775341501368/tool_error_context.jsonl,0,0,
